name,rating,review_count,price,latitude,longitude,address,city,state,categories
888,4.5,138,,36.15582193736133,-86.7805324,"800 Clark Pl, Nashville, TN 37203",Nashville,TN,"Japanese, Sushi Bars, Music Venues"
The Twelve Thirty Club,4.3,1215,,36.160473,-86.779066,"550 Broadway, Nashville, TN 37203",Nashville,TN,"Cocktail Bars, American"
The Stillery,4.4,3682,$$,36.1622596,-86.77570050061169,"113 2nd Ave N, Nashville, TN 37201",Nashville,TN,"New American, Bars"
The Finch,4.6,316,,36.15663252978947,-86.78391378524385,"111 10th Ave S, Ste 310, Nashville, TN 37203",Nashville,TN,American
Postino 12 South,4.2,77,,36.126617,-86.789483,"2317 12th Ave S, Nashville, TN 37204",Nashville,TN,"Wine Bars, Cocktail Bars, New American"
The Hampton Social - Nashville,4.3,1778,$$,36.15994,-86.77323,"201 1st Ave S, Nashville, TN 37201",Nashville,TN,"New American, Cocktail Bars"
Milk & Honey,4.2,3145,$$,36.1550068,-86.7847985,"214 11th Ave S, Nashville, TN 37203",Nashville,TN,"New American, Breakfast & Brunch, American"
The Henry,4.0,89,,36.12217,-86.79055,"2803 12th Ave S, Ste 105, Nashville, TN 37204",Nashville,TN,"New American, Coffee & Tea, Breakfast & Brunch"
All'Antico Vinaio,4.3,14,,36.14985,-86.79741,"1915 Broadway, Nashville, TN 37203",Nashville,TN,"Sandwiches, Italian"
Skull's Rainbow Room,4.4,1501,$$$,36.16459187062074,-86.77883419833715,"222 Printers Aly, Nashville, TN 37201",Nashville,TN,"Cocktail Bars, Steakhouses, Seafood"
Gannons Nashville,4.5,183,$$$,36.16364281617928,-86.77880134417838,"170 4th Ave N, Nashville, TN 37219",Nashville,TN,"Seafood, New American, Cocktail Bars"
etch,4.5,1791,$$$,36.1591558720083,-86.7751615037647,"303 Demonbreun St, Nashville, TN 37201",Nashville,TN,New American
Sixty Vines,4.5,1222,$$,36.16054956,-86.77950601,"5055 Broadway Pl, Ste 3200, Nashville, TN 37203",Nashville,TN,"New American, Wine Bars"
The Butter Milk Ranch,4.5,1025,$$,36.12580461567192,-86.78963328834321,"2407 12th Ave S, Nashville, TN 37204",Nashville,TN,"Breakfast & Brunch, Bakeries, Coffee & Tea"
V Modern Italian,4.0,34,,36.15020101251299,-86.7800579,"820 Division St, Nashville, TN 37203",Nashville,TN,"Italian, Pizza, Pasta Shops"
Onda,4.6,57,,36.152970817132214,-86.79397227149664,"101 17th Ave S, Nashville, TN 37203",Nashville,TN,"Korean, Bars, Tapas/Small Plates"
5th & Taylor,4.3,1508,$$$,36.1785965,-86.7905974,"1411 5th Ave N, Nashville, TN 37208",Nashville,TN,"New American, Southern, Bars"
Hal’s The Steakhouse,4.3,37,,36.1565313,-86.7752371,"407 Korean Veterans Blvd, Nashville, TN 37203",Nashville,TN,"Steakhouses, Seafood, American"
Hattie B's Hot Chicken - Nashville - Midtown,4.4,7731,$$,36.1513871522975,-86.7966029393197,"112 19th Ave S, Nashville, TN 37203",Nashville,TN,"Chicken Wings, Chicken Shop, Sandwiches"
