name,rating,review_count,price,latitude,longitude,address,city,state,categories
The Kennedy,4.5,133,$$,35.96551319,-83.9179934,"430 S Gay St, Knoxville, TN 37902",Knoxville,TN,"Wine Bars, Pizza, Cocktail Bars"
Stock & Barrel,4.4,1888,$$,35.96559,-83.92028,"35 Market Sq, Knoxville, TN 37902",Knoxville,TN,"Burgers, Cocktail Bars, Desserts"
The Brass Pearl,4.6,154,$$,35.96562,-83.91935,"24 Market Square, Knoxville, TN 37902",Knoxville,TN,"Live/Raw Food, Cocktail Bars, Seafood"
Farmacy,4.3,532,$$,35.939031828327465,-83.98740889238788,"5018 Kingston Pike, Knoxville, TN 37919",Knoxville,TN,"Southern, Breakfast & Brunch, Comfort Food"
Not Watson's kitchen + Bar,4.3,723,$$,35.96513,-83.91988,"15 Market Sq, Knoxville, TN 37902",Knoxville,TN,"American, Lounges"
Lilou,4.1,78,,35.965572282677115,-83.9180761,"428 S Gay St, Knoxville, TN 37902",Knoxville,TN,"French, Bars"
Otsu,4.5,17,,35.971124,-83.920571,"235 W Depot Ave, Knoxville, TN 37917",Knoxville,TN,"Dim Sum, Bars, Salad"
71 South,4.3,117,$$,35.94211310929998,-83.89075489999999,"3726 Sevier Heights Rd, Ste 200, Knoxville, TN 37920",Knoxville,TN,"Breakfast & Brunch, New American, Cocktail Bars"
Emma's Southern Kitchen,4.6,182,$$,35.946314,-83.981014,"3701 Sutherland Ave, Knoxville, TN 37919",Knoxville,TN,"Tacos, Salad, Burgers"
Brother Wolf,4.0,46,,35.9701952,-83.9185551,"108 W Jackson Ave, Knoxville, TN 37902",Knoxville,TN,"Cocktail Bars, Wine Bars, Italian"
Tupelo Honey Southern Kitchen & Bar,4.0,1467,$$,35.9646577,-83.9194173,"1 Market Sq, Knoxville, TN 37902",Knoxville,TN,"New American, Southern, Breakfast & Brunch"
Kaizen,4.3,352,$$,35.9694209,-83.918324,"127 S Central Ave, Knoxville, TN 37902",Knoxville,TN,"Asian Fusion, Noodles, Cocktail Bars"
Cazzy's Corner Grill,4.9,10,,35.93486326325969,-84.00360808050493,"215 Brookview Centre Way, Ste 109, Knoxville, TN 37919",Knoxville,TN,"Diners, New American, Breakfast & Brunch"
A Dopo Sourdough Pizza,4.7,566,$$,35.9724006652832,-83.9219284057617,"516 Williams St, Knoxville, TN 37917",Knoxville,TN,"Pizza, Italian"
Potchke,4.9,155,$$,35.97052529067282,-83.92221276667311,"318 N Gay St, Ste 103, Knoxville, TN 37917",Knoxville,TN,Delis
Stir,4.2,133,$$,35.96994,-83.91728,"217 Willow Ave, Knoxville, TN 37915",Knoxville,TN,"Cocktail Bars, Breakfast & Brunch, Seafood"
J C  Holdway,4.4,242,$$$,35.9642493724823,-83.9205265045166,"501 Union Ave, Knoxville, TN 37902",Knoxville,TN,"New American, Southern, Bars"
Southern Grit,4.5,232,$$,35.969552,-83.918102,"126 S Central St, Knoxville, TN 37902",Knoxville,TN,"American, Beer Bar, Cocktail Bars"
Saint Lucille's,4.5,26,,35.97439814013578,-83.92247619851715,"8 Emory Pl, Knoxville, TN 37917",Knoxville,TN,Cajun/Creole
Emilia,4.0,346,$$,35.9653350852148,-83.91937150354076,"16 Market Sq, Knoxville, TN 37902",Knoxville,TN,Italian
Kefi,4.6,258,$$$,35.9706139,-83.9180096,"120 E Jackson Ave, Knoxville, TN 37915",Knoxville,TN,"Mediterranean, Greek, Cocktail Bars"
The Humble Hog,4.3,60,,35.966763897206924,-83.91905377412608,"312 S Gay St, Knoxville, TN 37902",Knoxville,TN,"Barbeque, American, Tapas/Small Plates"
Vida,4.4,122,,35.96435,-83.91799,"531 S Gay St, Knoxville, TN 37902",Knoxville,TN,"Tapas/Small Plates, Cocktail Bars, Latin American"
Sticky Rice Cafe,4.7,764,$$,35.9266842496109,-84.0435157815075,"120 Jack Dance St, Knoxville, TN 37919",Knoxville,TN,"Laotian, Bubble Tea"
Gogi Korean Kitchen,4.5,89,,35.92508469720469,-84.0427845,"7818 Montvue Center Way, Knoxville, TN 37919",Knoxville,TN,Korean
Angry Dumplings Tea,4.9,98,$$,35.95979670943973,-83.90403575722402,"1119 Sevier Ave, Knoxville, TN 37920",Knoxville,TN,"Bubble Tea, Soup, Juice Bars & Smoothies"
Potchke - Cedar Bluff,4.3,29,,35.92472219195688,-84.093262,"432 N Cedar Bluff Rd, Knoxville, TN 37923",Knoxville,TN,"Bagels, Pop-up Shops, Sandwiches"
The Marlowe,4.7,3,,35.98146143986013,-83.92936795508223,"1123 N Central St, Knoxville, TN 37917",Knoxville,TN,"Tapas/Small Plates, Italian, American"
SmashCity Knoxville,4.5,89,,35.96837374334429,-83.91769275069237,"211 S Central St, Knoxville, TN 37902",Knoxville,TN,"Burgers, Sandwiches, New American"
K Pocha,4.8,28,,35.930912,-84.030404,"7315 Kingston Pike, Knoxville, TN 37919",Knoxville,TN,"Korean, Chicken Wings"
Gus's World Famous Fried Chicken,4.5,534,$$,35.9521293640137,-83.9675064086914,"3101 Sutherland Ave, Knoxville, TN 37919",Knoxville,TN,"Chicken Shop, Southern, Comfort Food"
Eggspectation - Knoxville,4.2,13,,35.95333598688129,-83.9144295035447,"2201 Kerns Rising Way, Ste A, Knoxville, TN 37920",Knoxville,TN,"Breakfast & Brunch, American"
Jim 'N Nick's Bar-B-Q,4.2,45,,35.92794055759302,-84.04086632686412,"7727 Kingston Pike, Knoxville, TN 37919",Knoxville,TN,Barbeque
Balter Beerworks,4.3,719,$$,35.96657,-83.92388,"100 Broadway SW, Knoxville, TN 37902",Knoxville,TN,"New American, Beer Gardens, Cocktail Bars"
Finn's Restaurant & Tavern,4.0,148,$$,35.91199,-84.08192,"9000 Kingston Pike, Knoxville, TN 37923",Knoxville,TN,"Irish, Pubs, Wine Bars"
Five Cousins Pollo A La Brasa,4.8,31,,36.005672222568,-83.9799495727331,"815 Merchant Dr, Ste E, Knoxville, TN 37912",Knoxville,TN,"Peruvian, Latin American"
Aretha Frankenstein's,4.0,100,$$,35.943355,-83.9106833,"3318 Chapman Hwy, Knoxville, TN 37920",Knoxville,TN,Breakfast & Brunch
Spice Thai,4.4,23,,35.93283,-84.00497,"6213 Kingston Pike, Knoxville, TN 37919",Knoxville,TN,Thai
Osteria Stella,4.0,109,,35.9701952,-83.9185551,"108 W Jackson Ave, Knoxville, TN 37902",Knoxville,TN,"Italian, Wine Bars"
Oliver Royale,4.1,323,$$,35.96478037447275,-83.91971883743861,"5 Market Sq, Knoxville, TN 37902",Knoxville,TN,"New American, Sandwiches"
The Public House,4.2,98,$$,35.97155,-83.92082,"212 W Magnolia Ave, Knoxville, TN 37917",Knoxville,TN,"Bars, American"
Lakeside Tavern,4.1,559,$$,35.8654099993323,-84.129815456155,"10911 Concord Park Dr, Knoxville, TN 37922",Knoxville,TN,"New American, Steakhouses"
Scrambled Jake's,4.0,583,$$,35.904424,-84.018921,"7428 S Northshore Dr, Knoxville, TN 37919",Knoxville,TN,"Breakfast & Brunch, Desserts, Coffee & Tea"
Storming Crab,4.0,233,,35.923914,-84.0575512,"8355 Kingston Pike, Knoxville, TN 37919",Knoxville,TN,"Cajun/Creole, Seafood"
Bogartz In Bearden,4.6,16,,35.940093,-83.981619,"4705 Old Kingston Pike, Knoxville, TN 37919",Knoxville,TN,"Salad, Seafood"
